step,time,dt,cfl,max_speed,kinetic_energy,enstrophy,circulation,poisson_iters,poisson_residual,frame
164,0.128125,7.813e-4,0.4000,0.780992,1.18751431e-3,3.71780931e1,-8.83586397e-1,3,3.766e-12,-1
165,0.128906,7.813e-4,0.4000,0.781770,1.19231028e-3,3.71056454e1,-8.83909654e-1,3,3.823e-12,-1
166,0.129687,7.813e-4,0.4000,0.782538,1.19709175e-3,3.70338075e1,-8.84229832e-1,3,3.602e-12,-1
167,0.130469,7.813e-4,0.4000,0.783299,1.20185883e-3,3.69625715e1,-8.84546977e-1,3,3.748e-12,-1
168,0.131250,7.813e-4,0.4000,0.784050,1.20661167e-3,3.68919295e1,-8.84861137e-1,3,4.061e-12,-1
169,0.132031,7.813e-4,0.4000,0.784793,1.21135037e-3,3.68218742e1,-8.85172357e-1,3,3.546e-12,-1
170,0.132812,7.813e-4,0.4000,0.785527,1.21607506e-3,3.67523980e1,-8.85480681e-1,3,4.391e-12,-1
171,0.133594,7.813e-4,0.4000,0.786254,1.22078585e-3,3.66834935e1,-8.85786153e-1,3,4.597e-12,-1
172,0.134375,7.813e-4,0.4000,0.786971,1.22548288e-3,3.66151537e1,-8.86088815e-1,3,3.567e-12,-1
173,0.135156,7.813e-4,0.4000,0.787681,1.23016624e-3,3.65473714e1,-8.86388710e-1,3,4.114e-12,-1
174,0.135937,7.813e-4,0.4000,0.788382,1.23483606e-3,3.64801398e1,-8.86685878e-1,3,3.986e-12,-1
175,0.136719,7.813e-4,0.4000,0.789075,1.23949245e-3,3.64134518e1,-8.86980359e-1,3,4.682e-12,-1
176,0.137500,7.813e-4,0.4000,0.789760,1.24413551e-3,3.63473009e1,-8.87272193e-1,3,3.702e-12,-1
177,0.138281,7.813e-4,0.4000,0.790438,1.24876536e-3,3.62816804e1,-8.87561418e-1,3,3.872e-12,-1
178,0.139062,7.813e-4,0.4000,0.791107,1.25338211e-3,3.62165839e1,-8.87848072e-1,3,3.888e-12,-1
179,0.139844,7.813e-4,0.4000,0.791768,1.25798587e-3,3.61520050e1,-8.88132191e-1,3,3.773e-12,-1
180,0.140625,7.813e-4,0.4000,0.792422,1.26257673e-3,3.60879373e1,-8.88413812e-1,3,3.762e-12,-1
181,0.141406,7.813e-4,0.4000,0.793067,1.26715480e-3,3.60243748e1,-8.88692970e-1,3,3.840e-12,-1
182,0.142187,7.813e-4,0.4000,0.793732,1.27172018e-3,3.59613113e1,-8.88969700e-1,3,4.086e-12,-1
183,0.142969,7.813e-4,0.4000,0.794402,1.27627298e-3,3.58987408e1,-8.89244036e-1,3,4.363e-12,-1
184,0.143750,7.813e-4,0.4000,0.795065,1.28081330e-3,3.58366576e1,-8.89516012e-1,3,4.086e-12,-1
185,0.144531,7.813e-4,0.4000,0.795722,1.28534123e-3,3.57750558e1,-8.89785660e-1,3,3.831e-12,-1
186,0.145312,7.813e-4,0.4000,0.796371,1.28985687e-3,3.57139298e1,-8.90053013e-1,3,4.178e-12,-1
187,0.146094,7.813e-4,0.4000,0.797014,1.29436031e-3,3.56532739e1,-8.90318102e-1,3,3.801e-12,-1
188,0.146875,7.813e-4,0.4000,0.797650,1.29885166e-3,3.55930826e1,-8.90580957e-1,3,3.962e-12,-1
189,0.147656,7.813e-4,0.4000,0.798280,1.30333100e-3,3.55333506e1,-8.90841610e-1,3,4.391e-12,-1
190,0.148438,7.813e-4,0.4000,0.798902,1.30779842e-3,3.54740725e1,-8.91100089e-1,3,3.737e-12,-1
191,0.149219,7.813e-4,0.4000,0.799518,1.31225403e-3,3.54152431e1,-8.91356425e-1,3,4.142e-12,-1
192,0.150000,7.813e-4,0.4000,0.800128,1.31669790e-3,3.53568572e1,-8.91610646e-1,3,4.292e-12,-1
193,0.150781,7.813e-4,0.4000,0.800731,1.32113013e-3,3.52989097e1,-8.91862780e-1,3,4.036e-12,-1
194,0.151563,7.813e-4,0.4000,0.801328,1.32555080e-3,3.52413956e1,-8.92112854e-1,3,4.043e-12,-1
195,0.152344,7.813e-4,0.4000,0.801918,1.32996001e-3,3.51843101e1,-8.92360897e-1,3,4.043e-12,-1
196,0.153125,7.813e-4,0.4000,0.802502,1.33435783e-3,3.51276482e1,-8.92606933e-1,3,4.093e-12,-1
197,0.153906,7.813e-4,0.4000,0.803080,1.33874435e-3,3.50714052e1,-8.92850990e-1,3,4.121e-12,-1
198,0.154688,7.813e-4,0.4000,0.803652,1.34311966e-3,3.50155765e1,-8.93093093e-1,3,4.135e-12,-1
199,0.155469,7.813e-4,0.4000,0.804217,1.34748383e-3,3.49601573e1,-8.93333268e-1,3,4.533e-12,-1
200,0.156250,7.813e-4,0.4000,0.804776,1.35183696e-3,3.49051432e1,-8.93571538e-1,3,4.071e-12,-1
201,0.157031,7.813e-4,0.4000,0.805329,1.35617911e-3,3.48505296e1,-8.93807929e-1,3,4.320e-12,-1
202,0.157813,7.813e-4,0.4000,0.805876,1.36051037e-3,3.47963122e1,-8.94042464e-1,3,4.327e-12,-1
203,0.158594,7.813e-4,0.4000,0.806417,1.36483081e-3,3.47424865e1,-8.94275167e-1,3,4.008e-12,-1
204,0.159375,7.813e-4,0.4000,0.806952,1.36914053e-3,3.46890483e1,-8.94506060e-1,3,4.029e-12,-1
205,0.160156,7.813e-4,0.4000,0.807481,1.37343958e-3,3.46359935e1,-8.94735167e-1,3,4.519e-12,-1
206,0.160938,7.813e-4,0.4000,0.808004,1.37772805e-3,3.45833178e1,-8.94962509e-1,3,4.265e-12,-1
207,0.161719,7.813e-4,0.4000,0.808526,1.38200602e-3,3.45310171e1,-8.95188109e-1,3,4.242e-12,-1
208,0.162500,7.813e-4,0.4000,0.809074,1.38627355e-3,3.44790874e1,-8.95411988e-1,3,4.491e-12,-1
209,0.163281,7.813e-4,0.4000,0.809616,1.39053072e-3,3.44275247e1,-8.95634167e-1,3,4.796e-12,-1
210,0.164063,7.813e-4,0.4000,0.810152,1.39477760e-3,3.43763252e1,-8.95854666e-1,3,4.782e-12,-1
211,0.164844,7.813e-4,0.4000,0.810684,1.39901427e-3,3.43254850e1,-8.96073507e-1,3,4.192e-12,-1
212,0.165625,7.813e-4,0.4000,0.811210,1.40324079e-3,3.42750002e1,-8.96290709e-1,3,4.796e-12,-1
213,0.166406,7.813e-4,0.4000,0.811731,1.40745724e-3,3.42248671e1,-8.96506292e-1,3,4.555e-12,-1
214,0.167188,7.813e-4,0.4000,0.812247,1.41166368e-3,3.41750821e1,-8.96720275e-1,3,4.086e-12,-1
215,0.167969,7.813e-4,0.4000,0.812758,1.41586018e-3,3.41256414e1,-8.96932678e-1,3,4.235e-12,-1
216,0.168750,7.813e-4,0.4000,0.813264,1.42004682e-3,3.40765416e1,-8.97143519e-1,3,4.256e-12,-1
